State,District,City,Latitude,Longitude
Meghalaya,South West Khasi Hills,-,0,0
Meghalaya,West Jaintia Hills,-,25.45,92.2
Meghalaya,West Garo Hills,-,25.52,90.22
Meghalaya,West Khasi Hills,-,25.52,91.27
Mizoram,Aizawl,-,23.73,92.72
Mizoram,Champhai,-,23.47,93.32
Mizoram,Hnahthial,-,22.9,92.75
Mizoram,Khawzawl,-,23.53,93.17
Mizoram,Kolasib,-,24.22,92.67
Mizoram,Lawngtlai,-,22.52,92.9
Mizoram,Lunglei,-,22.9,92.75
Mizoram,Mamit,-,23.92,92.48
Mizoram,Saiha,-,22.48,92.97
Mizoram,Saitual,-,23.68,92.95
Mizoram,Serchhip,-,23.3,92.85
Nagaland,Dimapur,-,25.8,93.78
Nagaland,Kiphire,-,25.9,94.78
Nagaland,Kohima,-,25.67,94.12
Nagaland,Longleng,-,26.52,94.93
Nagaland,Mokokchung,-,26.32,94.52
Nagaland,Mon,-,26.72,95.03
Nagaland,Noklak,-,26.22,94.98
Nagaland,Peren,-,25.52,93.73
Nagaland,Phek,-,25.67,94.47
Nagaland,Tuensang,-,26.23,94.82
Nagaland,Wokha,-,26.1,94.27
Nagaland,Zunheboto,-,26.02,94.52
Odisha,Angul,-,20.82,85.1
Odisha,Boudh (Bauda),-,0,0
Odisha,Bhadrak,-,21.07,86.5
Odisha,Balangir,-,20.7,83.5
Odisha,Bargarh (Baragarh),-,0,0
Odisha,Balasore,-,21.5,86.9
Odisha,Cuttack,-,20.45,85.82
Odisha,Debagarh (Deogarh),-,0,0
Odisha,Dhenkanal,-,20.65,85.6
Odisha,Ganjam,-,19.37,85.05
Odisha,Gajapati,-,18.88,84.2
Odisha,Jharsuguda,-,21.85,84
Odisha,Jajpur,-,20.85,86.32
Odisha,Jagatsinghpur,-,20.25,86.15
Odisha,Khordha,-,20.15,85.65
Odisha,Kendujhar (Keonjhar),-,0,0
Odisha,Kalahandi,-,20.07,83.2
Odisha,Kandhamal,-,20.47,84.23
Odisha,Koraput,-,18.8,82.7
Odisha,Kendrapara,-,20.52,86.47
Odisha,Malkangiri,-,18.25,82.13
Odisha,Mayurbhanj,-,21.92,86.72
Odisha,Nabarangpur,-,19.23,82.55
Odisha,Nuapada,-,20.65,82.82
Odisha,Nayagarh,-,20.1,85
Odisha,Puri,-,19.8,85.82
Odisha,Rayagada,-,19.15,83.4
Odisha,Sambalpur,-,21.45,83.97
Odisha,Subarnapur (Sonepur),-,0,0
Odisha,Sundargarh,-,22.1,84
Punjab,Amritsar,-,31.58,74.98
Punjab,Barnala,-,30.37,75.53
Punjab,Bathinda,-,30.2,74.93
Punjab,Firozpur,-,30.93,74.62
Punjab,Faridkot,-,30.67,74.75
Punjab,Fatehgarh Sahib,-,30.38,76.23
Punjab,Fazilka,-,30.4,74.02
Punjab,Gurdaspur,-,31.92,75.25
Punjab,Hoshiarpur,-,31.58,75.98
Punjab,Jalandhar,-,31.32,75.57
